run_label,step_index,time,forecast_update_s,solve_tracking_mpc_s,step_total_s,status,objective,q_prev,q_apply
single,119,2380.0,5.21e-5,0.0111504,0.0112105,LOCALLY_SOLVED,26.437977481575217,1.5833376449470238e-6,1.6518246941000668e-6
single,120,2400.0,0.0001417,0.0141397,0.0142852,LOCALLY_SOLVED,17.79767820829875,1.6518246941000668e-6,1.9125617224998722e-6
single,121,2420.0,5.48e-5,0.0113177,0.0113761,LOCALLY_SOLVED,9.51947350508999,1.9125617224998722e-6,2.6471761889638806e-6
single,122,2440.0,5.26e-5,0.013142,0.013198,LOCALLY_SOLVED,3.631050757947378,2.6471761889638806e-6,5.6052935093591085e-6
single,123,2460.0,5.49e-5,0.0116143,0.0116728,LOCALLY_SOLVED,1.2279075934493449,5.6052935093591085e-6,2.0145764924439495e-5
single,124,2480.0,5.89e-5,0.0090026,0.0090648,LOCALLY_SOLVED,0.11588711212971248,2.0145764924439495e-5,5.871372105127094e-5
single,125,2500.0,5.42e-5,0.0136278,0.0136861,LOCALLY_SOLVED,5.139101995155215e-5,5.871372105127094e-5,229.26883803353522
single,126,2520.0,8.89e-5,0.0936762,0.0937691,LOCALLY_SOLVED,1.8702616216614842e-5,229.26883803353522,375.12113707773415
single,127,2540.0,5.3e-5,0.0082194,0.008275,LOCALLY_SOLVED,6.794289220124483e-6,375.12113707773415,151.10189414456505
single,128,2560.0,8.58e-5,0.013789,0.0138791,LOCALLY_SOLVED,2.461776603013277e-6,151.10189414456505,88.44530191944887
single,129,2580.0,0.0001049,0.0124426,0.0125511,LOCALLY_SOLVED,8.942733984440565e-7,88.44530191944887,158.32561281478706
single,130,2600.0,5.43e-5,0.0087848,0.0088444,LOCALLY_SOLVED,3.289896994829178e-7,158.32561281478706,193.51806047079916
single,131,2620.0,0.0001262,0.0109694,0.0111004,LOCALLY_SOLVED,1.2837699614465237e-7,193.51806047079916,174.75989707916688
single,132,2640.0,7.58e-5,0.0101428,0.0102219,LOCALLY_SOLVED,5.893525667488575e-8,174.75989707916688,158.63855276030867
single,133,2660.0,6.42e-5,0.0074638,0.0075313,LOCALLY_SOLVED,3.65253072232008e-8,158.63855276030867,163.13584151553732
single,134,2680.0,5.43e-5,0.009901,0.009959,LOCALLY_SOLVED,2.8783688321709633e-8,163.13584151553732,169.66494589321877
single,135,2700.0,5.58e-5,0.0094578,0.0095167,LOCALLY_SOLVED,2.805609256029129e-8,169.66494589321877,169.12293512068004
single,136,2720.0,0.0001079,0.0084491,0.0085604,LOCALLY_SOLVED,2.814340405166149e-8,169.12293512068004,166.64421057298745
single,137,2740.0,5.22e-5,0.0082401,0.0082972,LOCALLY_SOLVED,2.8550857678055763e-8,166.64421057298745,166.44757399267158
single,138,2760.0,8.9e-5,0.0080092,0.0081012,LOCALLY_SOLVED,2.89292074739933e-8,166.44757399267158,167.31825490521078
single,139,2780.0,5.21e-5,0.0090856,0.0091428,LOCALLY_SOLVED,2.852175384759903e-8,167.31825490521078,167.53095992240014
single,140,2800.0,0.0001183,0.0105811,0.0107024,LOCALLY_SOLVED,3.026798367500305e-8,167.53095992240014,167.24782062113698
single,141,2820.0,7.6e-5,0.0107284,0.0108084,LOCALLY_SOLVED,2.986053004860878e-8,167.24782062113698,167.1246332336172
single,142,2840.0,5.87e-5,0.0089884,0.00905,LOCALLY_SOLVED,2.962769940495491e-8,167.1246332336172,167.20798243249112
single,143,2860.0,5.53e-5,0.0085594,0.0086182,LOCALLY_SOLVED,2.986053004860878e-8,167.20798243249112,167.26633321589054
single,144,2880.0,5.38e-5,0.0077947,0.0078517,LOCALLY_SOLVED,2.994784153997898e-8,167.26633321589054,167.24536626806227
single,145,2900.0,5.37e-5,0.009373,0.0094301,LOCALLY_SOLVED,2.962769940495491e-8,167.24536626806227,167.22071154858514
single,146,2920.0,5.42e-5,0.0075957,0.0076528,LOCALLY_SOLVED,2.9423972591757774e-8,167.22071154858514,167.22437773035153
single,147,2940.0,5.73e-5,0.0136209,0.0136826,LOCALLY_SOLVED,2.9191141948103905e-8,167.22437773035153,167.23395652640122
single,148,2960.0,9.16e-5,0.0090658,0.0091602,LOCALLY_SOLVED,3.0064256861805916e-8,167.23395652640122,167.2341654812466
single,149,2980.0,5.12e-5,0.0113347,0.011391,LOCALLY_SOLVED,2.9249349609017372e-8,167.2341654812466,167.23070732546194
single,150,3000.0,0.0001266,0.0076259,0.0077555,LOCALLY_SOLVED,2.8870999813079834e-8,167.23070732546194,167.230073240321
single,151,3020.0,5.15e-5,0.0079945,0.008051,LOCALLY_SOLVED,3.035529516637325e-8,167.230073240321,167.23123155727953
single,152,3040.0,0.0001059,0.0075846,0.0076938,LOCALLY_SOLVED,3.058812581002712e-8,167.23123155727953,167.23164957262557
single,153,3060.0,5.36e-5,0.0110585,0.0111158,LOCALLY_SOLVED,3.032619133591652e-8,167.23164957262557,167.23129475905407
single,154,3080.0,5.21e-5,0.0087034,0.0087603,LOCALLY_SOLVED,2.9831426218152046e-8,167.23129475905407,167.23108513258578
single,155,3100.0,6.0e-5,0.00773,0.007793,LOCALLY_SOLVED,2.9453076422214508e-8,167.23108513258578,167.231180654493
single,156,3120.0,5.03e-5,0.0077189,0.0077724,LOCALLY_SOLVED,2.9423972591757774e-8,167.231180654493,167.23127248095588
single,157,3140.0,5.29e-5,0.0071866,0.007243,LOCALLY_SOLVED,2.9511284083127975e-8,167.23127248095588,167.2312524736718
single,158,3160.0,0.0001317,0.0068643,0.006999,LOCALLY_SOLVED,2.9889633879065514e-8,167.2312524736718,167.2312157713818
single,159,3180.0,4.99e-5,0.0064989,0.0065514,LOCALLY_SOLVED,2.9191141948103905e-8,167.2312157713818,167.2312171435016
single,160,3200.0,4.94e-5,0.0077594,0.007812,LOCALLY_SOLVED,3.012246452271938e-8,167.2312171435016,167.2312307438442
single,161,3220.0,5.38e-5,0.0065356,0.0065921,LOCALLY_SOLVED,3.070454113185406e-8,167.2312307438442,167.23123243805946
single,162,3240.0,5.14e-5,0.0095691,0.0096238,LOCALLY_SOLVED,2.9802322387695312e-8,167.23123243805946,167.23122775328915
single,163,3260.0,5.87e-5,0.0095878,0.0096506,LOCALLY_SOLVED,3.0064256861805916e-8,167.23122775328915,167.23122638002525
single,164,3280.0,9.94e-5,0.0095753,0.0096775,LOCALLY_SOLVED,2.9365764930844307e-8,167.23122638002525,167.23122786595331
single,165,3300.0,6.49e-5,0.0086091,0.0086774,LOCALLY_SOLVED,2.9831426218152046e-8,167.23122786595331,167.23122860658836
single,166,3320.0,0.0001211,0.007737,0.0078614,LOCALLY_SOLVED,3.0064256861805916e-8,167.23122860658836,167.23122818413347
single,167,3340.0,5.13e-5,0.0077077,0.007762,LOCALLY_SOLVED,2.9249349609017372e-8,167.23122818413347,167.23122784606568
single,168,3360.0,5.08e-5,0.0073559,0.0074095,LOCALLY_SOLVED,2.994784153997898e-8,167.23122784606568,167.23122794568053
single,169,3380.0,5.11e-5,0.0064876,0.0065413,LOCALLY_SOLVED,3.041350282728672e-8,167.23122794568053,167.23122808478988
single,170,3400.0,5.12e-5,0.0070506,0.0071046,LOCALLY_SOLVED,3.0064256861805916e-8,167.23122808478988,167.23122807100862
single,171,3420.0,5.08e-5,0.006419,0.0064726,LOCALLY_SOLVED,3.041350282728672e-8,167.23122807100862,167.2312280180484
single,172,3440.0,4.92e-5,0.0078462,0.0078987,LOCALLY_SOLVED,3.087916411459446e-8,167.2312280180484,167.2312280180484
single,173,3460.0,9.88e-5,0.0121483,0.0122507,LOCALLY_SOLVED,3.087916411459446e-8,167.2312280180484,167.23122802829675
single,174,3480.0,0.0001324,0.0088248,0.0089606,LOCALLY_SOLVED,3.0209776014089584e-8,167.23122802829675,167.23122802829675
single,175,3500.0,5.16e-5,0.0074613,0.0075165,LOCALLY_SOLVED,3.0384398996829987e-8,167.23122802829675,167.231228046571
single,176,3520.0,5.72e-5,0.0105936,0.0106547,LOCALLY_SOLVED,3.082095645368099e-8,167.231228046571,167.23122802901204
single,177,3540.0,0.0001183,0.0075084,0.0076295,LOCALLY_SOLVED,3.0064256861805916e-8,167.23122802901204,167.23122802901204
single,178,3560.0,5.19e-5,0.0075719,0.0076266,LOCALLY_SOLVED,3.0064256861805916e-8,167.23122802901204,167.23122802901204
single,179,3580.0,5.16e-5,0.0073165,0.0073712,LOCALLY_SOLVED,3.003515303134918e-8,167.23122802901204,167.23122802901204
single,180,3600.0,5.36e-5,0.0075137,0.0075695,LOCALLY_SOLVED,3.041350282728672e-8,167.23122802901204,167.23122802901204
single,181,3620.0,5.29e-5,0.0064932,0.0065487,LOCALLY_SOLVED,3.0995579436421394e-8,167.23122802901204,167.23122802901204
single,182,3640.0,6.34e-5,0.0082529,0.0083198,LOCALLY_SOLVED,3.047171048820019e-8,167.23122802901204,167.23122804341017
single,183,3660.0,9.51e-5,0.008264,0.0083624,LOCALLY_SOLVED,3.064633347094059e-8,167.23122804341017,167.23122802851896
single,184,3680.0,5.23e-5,0.007188,0.0072434,LOCALLY_SOLVED,3.0675437301397324e-8,167.23122802851896,167.23122802851896
single,185,3700.0,5.27e-5,0.0075773,0.0076335,LOCALLY_SOLVED,3.012246452271938e-8,167.23122802851896,167.23122802851896
single,186,3720.0,5.18e-5,0.0073779,0.0074324,LOCALLY_SOLVED,3.047171048820019e-8,167.23122802851896,167.23122802851896
single,187,3740.0,5.16e-5,0.0078085,0.0078634,LOCALLY_SOLVED,3.0529918149113655e-8,167.23122802851896,167.23122802851896
single,188,3760.0,5.23e-5,0.0075581,0.0076152,LOCALLY_SOLVED,3.041350282728672e-8,167.23122802851896,167.2312280448035
single,189,3780.0,0.0001203,0.0091953,0.0093191,LOCALLY_SOLVED,3.0297087505459785e-8,167.2312280448035,167.23122802827604
single,190,3800.0,5.17e-5,0.0078974,0.0079533,LOCALLY_SOLVED,2.994784153997898e-8,167.23122802827604,167.23122802827604
single,191,3820.0,0.0001499,0.0077314,0.0078841,LOCALLY_SOLVED,3.087916411459446e-8,167.23122802827604,167.23122802827604
single,192,3840.0,5.34e-5,0.0066019,0.0066578,LOCALLY_SOLVED,3.0529918149113655e-8,167.23122802827604,167.23122802827604
single,193,3860.0,5.24e-5,0.0070463,0.0071019,LOCALLY_SOLVED,3.064633347094059e-8,167.23122802827604,167.23122803885735
single,194,3880.0,5.27e-5,0.0065706,0.0066258,LOCALLY_SOLVED,3.032619133591652e-8,167.23122803885735,167.23122803885735
single,195,3900.0,4.93e-5,0.0085129,0.008566,LOCALLY_SOLVED,3.0297087505459785e-8,167.23122803885735,167.23122801697454
single,196,3920.0,5.05e-5,0.0064758,0.0065284,LOCALLY_SOLVED,3.0529918149113655e-8,167.23122801697454,167.23122803086457
single,197,3940.0,5.05e-5,0.0078025,0.0078559,LOCALLY_SOLVED,3.0995579436421394e-8,167.23122803086457,167.23122803086457
single,198,3960.0,7.16e-5,0.0072233,0.0072977,LOCALLY_SOLVED,3.087916411459446e-8,167.23122803086457,167.23122803086457
single,199,3980.0,5.21e-5,0.0097105,0.0097662,LOCALLY_SOLVED,3.0297087505459785e-8,167.23122803086457,167.23122804230394
single,200,4000.0,5.46e-5,0.0072992,0.0073572,LOCALLY_SOLVED,3.064633347094059e-8,167.23122804230394,167.23122802752468
